triage_rank,target_id,group_id,triage_band,triage_action,model1_model_id,model1_gdt_ts_proxy,best_top5_model_id,best_top5_model_number,best_top5_gdt_ts_proxy,best_minus_model1_gdt_ts_proxy,model1_metric_status,best_top5_metric_status,complete_top5_group,top5_ready_count,claim_boundary,rule_id
60,T1212,132,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS132_1,0.966,T1212TS132_1,1,0.966,0.000,metric_ready,metric_ready,False,1,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
61,T1212,145,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS145_1,5.311,T1212TS145_1,1,5.311,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
62,T1212,147,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS147_1,1.717,T1212TS147_1,1,1.717,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
63,T1212,167,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS167_1,9.067,T1212TS167_1,1,9.067,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
64,T1212,198,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS198_1,3.219,T1212TS198_1,1,3.219,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
65,T1212,212,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS212_1,0.483,T1212TS212_1,1,0.483,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
66,T1212,231,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS231_1,72.157,T1212TS231_1,1,72.157,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
67,T1212,267,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS267_1,0.215,T1212TS267_1,1,0.215,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
68,T1212,294,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS294_1,7.135,T1212TS294_1,1,7.135,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
69,T1212,298,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS298_1,0.966,T1212TS298_1,1,0.966,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
70,T1212,314,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS314_1,27.092,T1212TS314_1,1,27.092,0.000,metric_ready,metric_ready,False,4,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
71,T1212,325,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS325_1,43.616,T1212TS325_1,1,43.616,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
72,T1212,338,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS338_1,0.751,T1212TS338_1,1,0.751,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
73,T1212,462,model1_best_or_tied,retain_as_positive_model1_selection_control,T1212TS462_1,0.000,T1212TS462_1,1,0.000,0.000,metric_ready,metric_ready,True,5,"Local CASP17 official-archive first baseline model1 gap triage only. It mines a baseline-only proxy score ledger for model1-vs-best-of-5 selection failures and calibration examples. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_triage_v1
