candidate_rank,candidate_id,target_id,ligand_id,ligand_source_dataset,field_order,field_key,linked_action_id,linked_action_status,linked_action_md,current_evidence,required_artifact,evidence_request_kind,required_operator_value_format,accepted_evidence_examples,rejected_sources,metric_names,metric_bridge_row_count,metric_action_mds,packet_folder,operator_template_csv,dropzone_manifest_csv,evidence_stub_md,field_status,blocker,next_action
5,organic_ligand_slot_candidate_005,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,tcruzi_pde_external_pdeb1_007_chembl3764370,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_045,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/045_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/043_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/05_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/044_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/05_tcruzi_pde_external_pdeb1_007_chembl3764370/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
6,organic_ligand_slot_candidate_006,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,tcruzi_pde_external_pdeb1_017_chembl3765606,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_047,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/047_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL3765606;chembl_target:CHEMBL2010636;chembl_document:CHEMBL3763060;chembl_assay:CHEMBL3769086;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/06_tcruzi_pde_external_pdeb1_017_chembl3765606/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/052_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/053_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
6,organic_ligand_slot_candidate_006,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,tcruzi_pde_external_pdeb1_017_chembl3765606,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_048,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/048_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/052_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/053_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
6,organic_ligand_slot_candidate_006,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,tcruzi_pde_external_pdeb1_017_chembl3765606,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_049,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/049_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/052_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/053_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
6,organic_ligand_slot_candidate_006,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,tcruzi_pde_external_pdeb1_017_chembl3765606,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_050,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/050_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/06_tcruzi_pde_external_pdeb1_017_chembl3765606/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/052_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/053_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
6,organic_ligand_slot_candidate_006,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,tcruzi_pde_external_pdeb1_017_chembl3765606,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_054,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/054_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/052_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/06_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606/053_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/06_tcruzi_pde_external_pdeb1_017_chembl3765606/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
7,organic_ligand_slot_candidate_007,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,BindingDB,1,direct_native_or_source_authority,organic_ligand_promotion_action_056,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/056_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;bindingdb_monomer:50397079;source_scope:smiles_similarity_to_chembl_homolog_pdeb1_energy_hit_candidates;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/061_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/062_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
7,organic_ligand_slot_candidate_007,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,BindingDB,2,no_leak_provenance,organic_ligand_promotion_action_057,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/057_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/061_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/062_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
7,organic_ligand_slot_candidate_007,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,BindingDB,3,prediction_chronology,organic_ligand_promotion_action_058,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/058_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/061_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/062_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
7,organic_ligand_slot_candidate_007,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,BindingDB,4,ligand_pose_reference,organic_ligand_promotion_action_059,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/059_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/061_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/062_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
7,organic_ligand_slot_candidate_007,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,BindingDB,5,strict_blind_slot_mapping,organic_ligand_promotion_action_063,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/063_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/061_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/07_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/062_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
