artifact_id,label,status,ready_count,blocked_count,total_count,path,next_action,blockers
historical_seed_no_leak_provenance_dossiers,Fail-closed no-leak provenance dossiers for historical seed rows,operator_provenance_review_required,0,15,15,casp17/casp17_historical_seed_no_leak_provenance_dossiers_current.json,attach independent no-leak evidence and operator clearance before setting leakage_clearance,"core:15,current_false:15,open_fields:150,chronology_gaps:15,negative_control_gaps:15,mtime_risk:15"
historical_seed_no_leak_gap_repair_plan,No-leak provenance repair plan separating operator-required fields from weak local hints,no_leak_gap_repair_required,0,15,15,casp17/casp17_historical_seed_no_leak_gap_repair_plan_current.json,"attach independent no-leak evidence, authoritative dates, negative controls, and operator clearance","fields:150,operator_required:150,weak:30,authoritative:0,mtime_risk:15"
historical_seed_current_target_prefill,Fail-closed current-target=false prefill for historical seed rows,applied,15,0,15,casp17/casp17_historical_seed_current_target_prefill_current.json,set current_casp17_target=false,"mode:apply,collisions:0,remaining_open:0,hist_prefix:15"
historical_seed_native_authority_audit,Native/reference authority audit for historical seed benchmark rows,blocked_native_authority,10,7,17,casp17/casp17_historical_seed_native_authority_audit_current.json,attach external native/source authority for the local complex reference or replace the row,"placeholder:0,ca_only:0,local_generated_no_authority:7,ref_missing:7,first:HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005"
historical_seed_native_replacement_candidates,RCSB public native replacement candidates for historical seed placeholders,partial_native_replacement_candidates_ready,10,7,17,casp17/casp17_historical_seed_native_replacement_candidates_current.json,attach external native/source authority for this complex reference or replace the seed row,"review_ready:10,download:0,file_blocked:0,complex_authority:7,dir:casp17/historical_seed_native_replacement_candidates"
historical_seed_complex_source_authority_candidates,Complex source-authority review packet for generated T. cruzi PDE historical seeds,complex_homolog_source_authority_candidates_ready_claim_limited,7,0,7,casp17/casp17_historical_seed_complex_source_authority_candidates_current.json,operator may cite this as source authority only after accepting the homolog-only claim boundary,"direct:0,homolog:7,operator_apply:0,claim_promotion:0,protein:rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb"
historical_seed_chronology_candidate_board,Operator chronology candidate board for historical seed rows,operator_evidence_required,0,15,15,casp17/casp17_historical_seed_chronology_candidate_board_current.json,"fill prediction_created_at, native_release_date, and before-native confirmation from operator evidence","path_dates:10,mtimes:15,mtime_risk:15,conflicts:0"
historical_seed_authoritative_chronology_audit,Authority-date chronology audit for historical seed rows,post_native_prediction_chronology_blocked,0,17,17,casp17/casp17_historical_seed_authoritative_chronology_audit_current.json,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence","native_dates:10,prediction_dates:15,before_native:0,post_native:10,evidence_required:7"
historical_seed_lane_decision_packet,Lane decision packet separating strict blind proof from retrospective review,strict_blind_replacement_required,0,17,17,casp17/casp17_historical_seed_lane_decision_packet_current.json,keep this row outside competitive proof unless operator supplies a pre-native blind prediction artifact; otherwise use only for retrospective no-template calibration review,"strict_blind:0,retrospective:10,authority_required:7,competitive:0,replacement_required:17"
historical_seed_strict_blind_replacement_queue,Strict-blind replacement queue for the 40-row historical benchmark scaffold,strict_blind_replacement_queue_open,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_queue_current.json,"select a non-current historical target with pre-native internal prediction, authoritative native, no-leak evidence, ablation layers, calibration values, and operator clearance","slots:40,monomer_complex:25/15,replacement_required:40,current_seed_competitive:0,fields:640"
historical_seed_strict_blind_replacement_intake,Strict-blind replacement intake and fail-closed preflight for queued scaffold slots,awaiting_strict_blind_replacement_intake,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_intake_current.json,"fill replacement_candidate_intake.csv with strict-blind evidence, then rerun intake preflight","slots:40,ready:0,awaiting:40,filled:0,missing:640,fields:640"
historical_seed_strict_blind_replacement_evidence_dropzones,Strict-blind replacement evidence dropzones and intake patch previews,awaiting_strict_blind_evidence_files,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_evidence_dropzones_current.json,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","dropzones:40,ready:0,awaiting:40,files_present:0,files_missing:240,files_required:240,operator_values:400"
historical_seed_strict_blind_replacement_evidence_action_board,Strict-blind replacement evidence file placement action board,awaiting_strict_blind_evidence_actions,0,240,240,casp17/casp17_historical_seed_strict_blind_replacement_evidence_action_board_current.json,place prediction_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,"actions:240,ready:0,open:240,blocked:0,missing_by_field:40/40/40/40/40/40"
historical_seed_strict_blind_replacement_evidence_quality_audit,Strict-blind replacement evidence file quality audit,awaiting_strict_blind_evidence_quality_files,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_evidence_quality_audit_current.json,place all six strict-blind evidence files in the dropzone and rerun dropzones/quality audit,"ready:0,awaiting:40,blocked:0,files:0/240/240,pdb_slots:0/0,distinct:0"
historical_seed_strict_blind_replacement_evidence_import_gate,Strict-blind replacement evidence import gate from dropzone patch previews into intake CSVs,awaiting_strict_blind_evidence_import,0,640,640,casp17/casp17_historical_seed_strict_blind_replacement_evidence_import_gate_current.json,place the missing evidence file in the strict-blind dropzone and rerun dropzones/import gate,"mode:dry_run,actions:640,file_operator:240/400,ready:0,awaiting_file:240,awaiting_operator:400"
historical_seed_strict_blind_replacement_operator_value_gate,Strict-blind replacement operator-value templates and apply gate,awaiting_operator_values,0,400,400,casp17/casp17_historical_seed_strict_blind_replacement_operator_value_gate_current.json,fill operator_value for replacement_target_id in replacement_operator_values.csv,"mode:dry_run,templates:40,actions:400,ready:0,awaiting_value:400,awaiting_evidence:0,awaiting_clearance:0"
historical_seed_strict_blind_replacement_operator_action_board,Strict-blind replacement operator value action board,awaiting_strict_blind_operator_actions,0,400,400,casp17/casp17_historical_seed_strict_blind_replacement_operator_action_board_current.json,fill operator_value for replacement_target_id in replacement_operator_values.csv,"actions:400,ready:0,open_value:400,open_evidence:400,open_clearance:400,missing_by_field:40/40/40/40/40/40/40/40/40/40"
historical_seed_strict_blind_replacement_promotion_gate,Strict-blind replacement promotion gate for competitive proof entry,awaiting_strict_blind_replacement_promotion,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_promotion_gate_current.json,"place required strict-blind evidence files, rerun dropzones/import gate","ready:0,awaiting_file:40,awaiting_operator:40,awaiting_apply:0,awaiting_intake:40,blocked_review:0,complete_slots:0/0/0"
historical_seed_strict_blind_replacement_cycle,"Strict-blind replacement cycle across queue, evidence, quality, operator, action-board, and promotion gates",awaiting_evidence_files,0,40,40,casp17/casp17_historical_seed_strict_blind_replacement_cycle_current.json,"place strict-blind evidence files in this dropzone, then rerun dropzone and intake preflight","stage:evidence_dropzones,promotion:0/40,files:0/240,quality:0/40/0,operator_awaiting:400,operator_board:400/400/400"
historical_seed_strict_blind_replacement_first_slot_kit,First strict-blind replacement slot evidence and operator execution kit,awaiting_first_slot_evidence_files,0,16,16,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_kit_current.json,place prediction_pdb evidence at casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,"benchmark:hist_REQUIRED_MONOMER_001,evidence:0/6/0,operator:0/10/0,operator_open:10/10/10"
historical_seed_strict_blind_replacement_first_slot_local_candidate_board,Local candidate source board for the first strict-blind replacement slot,first_slot_local_candidates_review_only,0,17,17,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_local_candidate_board_current.json,find or attach a prediction artifact created before authoritative native release,"candidates:0/0/10/17,present:15/15/10,blocked:17/17/17/17"
historical_seed_strict_blind_replacement_first_slot_candidate_repair_board,Repair action board for first strict-blind replacement slot local candidates,awaiting_first_slot_candidate_repairs,0,96,96,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_candidate_repair_board_current.json,attach a prediction artifact created before the authoritative native release date,"actions:79/17/96,classes:17/17/17/17,source:2/2/7,eligibility:17"
historical_seed_strict_blind_replacement_first_slot_repair_feasibility_board,Feasibility gate for first strict-blind replacement slot repair actions,first_slot_current_local_candidate_source_required,69,27,96,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_repair_feasibility_board_current.json,source_external_pre_native_prediction_or_replace_candidate,"post_native:10/10,external:20/10,repairable:11/51/7,primary:7"
historical_seed_strict_blind_replacement_first_slot_source_route_board,Source-route decision board for the first strict-blind replacement slot,first_slot_requires_pre_native_monomer_source_or_replacement,0,10,17,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_source_route_board_current.json,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate,"scope:10/7/17,allowed:0,external:10/20,out_scope_repair:7/7"
historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates,Official CASP15/16 archive source candidates for the first strict-blind monomer slot,first_slot_official_archive_native_authority_candidates_available,24,0,24,casp17/casp17_historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates_current.json,keep official archive submissions in the baseline replay lane; source internal pre-native predictions separately,"sources:2,candidates:24/0/24,native:24/0,pdb:24/0,metadata:24,capri_deferred:2,cat:19/2/3,first:CASP16/T1212/9b0l"
historical_seed_official_archive_baseline_lane,Official CASP archive baseline replay lane kept outside strict-blind competitive proof,official_archive_baseline_lane_ready,24,0,24,casp17/casp17_historical_seed_official_archive_baseline_lane_current.json,keep official CASP archive submissions in the baseline replay lane; do not feed them into strict-blind competitive proof or internal prediction dropzones,"source_ready:24/24,proof_eligible:0,strict_blind_blocked:24,other_team_baseline:24,first:CASP16/T1212/9b0l"
official_archive_first_baseline_acquisition_audit,Downloaded first official-archive baseline tarball/native audit kept outside strict-blind proof,official_archive_first_baseline_acquired,2,0,2,casp17/casp17_official_archive_first_baseline_acquisition_audit_current.json,extract and score the baseline-only model1/best-of-5 set without importing it as internal proof,"first:CASP16/T1212/9B0L,artifacts:2/0/2,tar_models:357,native_atoms:7051,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model_pool,Extracted first official-archive baseline model1/top5 pool kept outside strict-blind proof,official_archive_first_baseline_model_pool_ready,357,0,357,casp17/casp17_official_archive_first_baseline_model_pool_current.json,score baseline-only model1 and best-of-5 against the native PDB without importing as internal proof,"first:CASP16/T1212/9B0L,models:357/0/357,groups:74,model1:73,top5:348,complete_top5:67,extra:9,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_score_ledger,Scored first official-archive baseline model1/top5 proxy ledger kept outside strict-blind proof,official_archive_first_baseline_score_ledger_ready_baseline_only,348,0,348,casp17/casp17_official_archive_first_baseline_score_ledger_current.json,use the baseline-only score ledger for historical replay calibration; keep strict-blind proof blocked,"first:CASP16/T1212/9B0L,models:348/0/348,groups:74,model1:73,best_top5:73,complete_top5:67,improved:52,mean_model1:6.224,mean_best:17.013,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_replay_comparison,Compared first official-archive baseline proxy replay with historical winner-band constants,official_archive_first_baseline_replay_comparison_ready_baseline_only,0,3,3,casp17/casp17_official_archive_first_baseline_replay_comparison_current.json,"keep this as baseline-only model-selection calibration, then close strict-blind source evidence before any winner-normalized competitive claim","first:CASP16/T1212/9B0L,bands:0/3/3,direct:not_directly_comparable_proxy_single_target_not_sum_zscore,model1_best:21/73,top5_improved:52/73,rates:0.288/0.712,mean_model1:6.224,mean_best:17.013,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model1_gap_triage,Triaged first official-archive baseline model1-vs-best-of-5 selection gaps,official_archive_first_baseline_model1_gap_triage_ready_baseline_only,73,1,74,casp17/casp17_official_archive_first_baseline_model1_gap_triage_current.json,use high-gap baseline-only cases to calibrate no-native model1 selection features; keep strict-blind competitive proof blocked until internal evidence is supplied,"first:CASP16/T1212/9B0L,groups:73/1/74,model1_best:21/73,top5_improved:52/73,rates:0.288/0.712,gaps:27/11/9/5,critical:14,first_triage:163/catastrophic_model1_selection_gap/78.380,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model1_gap_viewer_packet,Rendered 3D overlay viewers for high-gap first official-archive baseline model1 failures,official_archive_first_baseline_model1_gap_viewer_packet_ready_baseline_only,14,0,14,casp17/casp17_official_archive_first_baseline_model1_gap_viewer_packet_current.json,inspect high-gap overlay viewers and translate recurring model1-selection failures into no-native accuracy-estimation features; keep strict-blind proof blocked,"first:CASP16/T1212/9B0L,viewers:14/0/14,cases:5/9,pairs:14,native:True,first_viewer:163/catastrophic_model1_selection_gap/78.380,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model1_gap_feature_probe,Computed no-native geometry features for high-gap official-archive baseline model1 failures,official_archive_first_baseline_model1_gap_feature_probe_ready_baseline_only,14,0,14,casp17/casp17_official_archive_first_baseline_model1_gap_feature_probe_current.json,"use native-free feature signals to tune model1 selection calibration, then repeat on strict-blind eligible internal predictions only","first:CASP16/T1212/9B0L,features:14/0/14,signals:0/0/14,rate:0.000,cases:5/9,matrix:28,first_signal:163/ambiguous/-0.117,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model1_gap_consensus_probe,Computed no-native top5 consensus features for high-gap official-archive baseline model1 failures,official_archive_first_baseline_model1_gap_consensus_probe_ready_baseline_only,14,0,14,casp17/casp17_official_archive_first_baseline_model1_gap_consensus_probe_current.json,"combine consensus-rank, diversity, and confidence features into a no-native model1 selector; repeat only on strict-blind eligible internal predictions before competitive claims","first:CASP16/T1212/9B0L,consensus:14/0/14,signals:7/6/1,rate:0.500,top_matches:4/3,cases:5/9,pairs:140,first_signal:163/supports_model1/-4.201,proof_eligible:False,policy:do_not_import_as_internal_prediction"
official_archive_first_baseline_model1_gap_combined_selector_ledger,Combined no-native geometry and consensus probes into a model1 selector ledger,official_archive_first_baseline_model1_gap_combined_selector_ledger_ready_baseline_only,14,0,14,casp17/casp17_official_archive_first_baseline_model1_gap_combined_selector_ledger_current.json,"apply this conservative combined selector design to external CASP17 MassiveFold model1 freeze ledgers, then repeat on strict-blind eligible internal predictions before competitive claims","first:CASP16/T1212/9B0L,selector:14/0/14,decisions:7/6/1,baseline:7/6/1/0,rates:0.500/0.500,cases:5/9,first_selector:163/retain_model1/retained_model1_failure_baseline_proxy,proof_eligible:False,policy:do_not_import_as_internal_prediction"
strict_blind_first_slot_source_bridge,First strict-blind slot source bridge for native authority and operator-only fields,first_slot_source_bridge_internal_prediction_required,2,7,9,casp17/casp17_strict_blind_first_slot_source_bridge_current.json,provide a pre-native internal prediction PDB; use official archive files only for native authority/baseline review,"official:24/24,native_bridge:2,baseline_only:24,strict_blocked:24,operator_only:6,internal_prediction_blocked:1,auto_apply:0,first:CASP16/T1212/9b0l"
strict_blind_internal_prediction_source_audit,First strict-blind slot internal prediction source audit and operator template,internal_prediction_source_missing_for_first_slot,0,1,6,casp17/casp17_strict_blind_internal_prediction_source_audit_current.json,fill internal prediction source manifest and place verified PDB in first-slot dropzone,"local:0/17,routes:0/17,official_blocked:24,native_bridge:2,internal_blocked:1,template:1,first:pre_native_internal_prediction_pdb_missing"
strict_blind_internal_candidate_filesystem_sweep,Filesystem sweep for possible strict-blind internal prediction candidates,strict_blind_filesystem_sweep_operator_review_required,0,4551,9975,casp17/casp17_strict_blind_internal_candidate_filesystem_sweep_current.json,"review unknown_possible_internal_review samples only if an operator can attach source class, pre-native chronology, no-leak evidence, and clearance; otherwise keep strict-blind proof blocked","scan:.,files/atom:9975/6422,verified:0,unknown:4551,current/mf/official/native/top5/dropzone:1810/2895/387/257/75/0,gate:awaiting_internal_prediction_source_gate_fields/internal_source_id_missing_or_external"
strict_blind_unknown_candidate_triage,Triage of unknown filesystem candidates into internal-like and review-only buckets,strict_blind_unknown_triage_internal_like_review_required,0,166,4551,casp17/casp17_strict_blind_unknown_candidate_triage_current.json,"start with internal_structure_archive_unverified rows; promote nothing until source_id, prediction_created_at, native_release_date, no-leak evidence, and operator_clearance are filled","unknown:4551,internal_like:166,promotion_ready:0,public/run/archive/data/tmp/other:3962/406/16/0/1/0,gate:awaiting_internal_prediction_source_gate_fields/internal_source_id_missing_or_external,first_internal:data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_bba5_sample000_step00020.pdb"
strict_blind_internal_like_source_review,Chronology review of internal-like strict-blind source candidates,strict_blind_internal_like_source_review_all_post_native,0,166,166,casp17/casp17_strict_blind_internal_like_source_review_current.json,treat these internal-like files as post-native blockers; source requests still need a different pre-native internal prediction artifact with no-leak evidence,"candidates:166/triage:166,match:True,mapped/pre/post/same/missing/unmapped:166/0/166/0/0/0,targets/all-post/pre-targets:10/10/0,first:HIST_BBA5/prediction_not_before_native"
strict_blind_internal_prediction_source_gate,First strict-blind slot internal prediction source manifest and PDB gate,awaiting_internal_prediction_source_gate_fields,3,13,16,casp17/casp17_strict_blind_internal_prediction_source_gate_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","manifest_rows:1,source:,prediction:,dropzone:casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,first:source_id_internal/internal_source_id_missing_or_external"
strict_blind_source_gate_field_board,First strict-blind slot source-gate unique field action board,awaiting_source_gate_field_fills,0,11,11,casp17/casp17_strict_blind_source_gate_field_board_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","checks:3/13/16,actions:9/2/0/11,covered:13,first:source_id/internal_source_id_missing_or_external"
strict_blind_source_gate_operator_packet,First strict-blind slot source-gate operator value packet,awaiting_source_gate_operator_values,0,11,11,casp17/casp17_strict_blind_source_gate_operator_packet_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","operator:0/11/11,patch:0/11,actions:9/1/1,first:source_id/awaiting_operator_value"
strict_blind_source_gate_source_request_packet,First strict-blind slot source-gate source acquisition requests,awaiting_pre_native_source_or_candidate_replacement,0,17,17,casp17/casp17_strict_blind_source_gate_source_request_packet_current.json,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence","requests:10/7/0/17,scope:10/7,templates:0/17,fields:0/187/187,first:source_request_001/HIST_BBA5/pre_native_prediction_source_required/prediction_not_before_native"
strict_blind_source_request_resolution_board,Resolution classes for strict-blind source requests after internal-like chronology review,source_request_resolution_all_current_candidates_blocked,0,17,17,casp17/casp17_strict_blind_source_request_resolution_board_current.json,replace the 10 monomer requests with pre-native internal prediction artifacts and repair or replace the 7 complex native-authority rows before source-gate fulfillment,"requests:0/17/17,monomer/complex:10/7,postnative/replacement/prenative-review/missing:10/7/0/0,internal-like-post/pre:166/0,first:source_request_001/HIST_BBA5/all_internal_like_candidates_post_native"
strict_blind_source_request_fulfillment_gate,First strict-blind slot source request fulfillment gate,awaiting_source_request_operator_values,0,17,17,casp17/casp17_strict_blind_source_request_fulfillment_gate_current.json,fill operator_value for source_id,"fields:0/187/187,evidence:0/153,validation:0/0/0,first:source_request_001/source_id_missing"
strict_blind_source_request_operator_fill_worklist,First strict-blind slot source request operator fill worklist,awaiting_source_request_operator_values,0,187,187,casp17/casp17_strict_blind_source_request_operator_fill_worklist_current.json,fill operator_value for source_id,"fields:0/187/153/187,candidate:77,first:source_request_operator_fill_001/source_request_001/source_id/operator_value_missing"
strict_blind_source_request_operator_sync_plan,First strict-blind slot source request to operator packet sync plan,awaiting_source_request_fulfillment,0,1,0,casp17/casp17_strict_blind_source_request_operator_sync_plan_current.json,fill operator_value for source_id,"mode:dry_run,fulfillment:0/17,actions:0/1/0/0,selected:/,first:source_request_sync_blocker_001/source_id_missing"
strict_blind_source_request_closure_board,First strict-blind slot source request closure board,awaiting_strict_blind_source_request_closure,0,13,13,casp17/casp17_strict_blind_source_request_closure_board_current.json,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence","required:hist_REQUIRED_MONOMER_001/REQUIRED_MONOMER_001/monomer,stages:0/13/13,statuses:awaiting_pre_native_source_or_candidate_replacement/awaiting_source_request_operator_values/awaiting_source_request_operator_values/awaiting_source_request_fulfillment/awaiting_first_unlock_operator_values/awaiting_first_unlock_evidence_collection/awaiting_first_unlock_evidence_review/awaiting_first_unlock_evidence_review/awaiting_source_gate_operator_values/awaiting_internal_prediction_source_gate_fields/blocked_until_internal_prediction_source_gate_passes/blocked_on_internal_prediction_source_gate/blocked_on_first_slot_internal_prediction_source,first:source_request_packet/awaiting_pre_native_source_or_candidate_replacement/prediction_not_before_native"
strict_blind_first_source_request_pickup,Operator pickup packet for the first strict-blind source request,first_source_request_requires_pre_native_source,0,3,3,casp17/casp17_strict_blind_first_source_request_pickup_current.json,"attach a prediction artifact created before the authoritative native release date, with timestamp and no-leak evidence","request:source_request_001/HIST_BBA5/monomer,dates:2026-02-19/2004-05-13/before:False,options:0/3/3,external:10/10,folder:casp17/strict_blind_first_source_request_pickup/source_request_001_hist_bba5,first:first_source_pickup_001/prediction_not_before_native"
strict_blind_first_unlock_handoff,First strict-blind slot operator handoff for winner-normalized unlock,awaiting_first_unlock_operator_values,0,11,11,casp17/casp17_strict_blind_first_unlock_handoff_current.json,fill operator_value for source_id,"request:source_request_001/HIST_BBA5,fields:0/11/11,chronology:2026-02-19/2004-05-13,first:source_id/operator_value_missing"
strict_blind_first_unlock_evidence_packet,Field-level evidence packet for first strict-blind unlock,awaiting_first_unlock_evidence_collection,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_packet_current.json,"collect evidence in casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md, then fill operator_value and operator_evidence_ref for source_id","request:source_request_001/HIST_BBA5,fields:0/11/11,stubs:11,files:2,first:source_id/operator_value_missing"
strict_blind_first_unlock_evidence_review_gate,Review gate for first strict-blind unlock evidence packet,awaiting_first_unlock_evidence_review,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_review_gate_current.json,fill operator_value for source_id in operator_evidence_template.csv,"request:source_request_001/HIST_BBA5,fields:0/11/11,template_missing:11/0/11/11,stub:11/11,policy:0/11,file:0/2,first:source_id/template_operator_value_missing"
strict_blind_first_slot_source_gate_blocker_ledger,Merged blocker ledger for the first strict-blind source gate,awaiting_first_slot_source_gate_operator_evidence,0,11,11,casp17/casp17_strict_blind_first_slot_source_gate_blocker_ledger_current.json,fill operator_value for source_id in operator_evidence_template.csv,"required:hist_REQUIRED_MONOMER_001/REQUIRED_MONOMER_001,fields:0/11/11,gate:3/13/16,operator:0/11,review:0/11,file:0/2,first:source_id/template_operator_value_missing"
strict_blind_first_unlock_evidence_sync_plan,Sync plan from first-unlock evidence review into source-gate operator CSV,awaiting_first_unlock_evidence_review,0,11,11,casp17/casp17_strict_blind_first_unlock_evidence_sync_plan_current.json,complete first-unlock evidence review before syncing into the source gate,"mode:dry_run,review:awaiting_first_unlock_evidence_review,request:source_request_001/HIST_BBA5,actions:0/11/0/11,destination:casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,first:first_unlock_evidence_sync_001/template_operator_value_missing"
strict_blind_internal_prediction_source_apply_plan,First strict-blind slot internal prediction source apply plan,blocked_until_internal_prediction_source_gate_passes,0,16,16,casp17/casp17_strict_blind_internal_prediction_source_apply_plan_current.json,copy verified internal prediction PDB into the first-slot prediction dropzone,"gate:awaiting_internal_prediction_source_gate_fields,file/operator/supp:1/10/5,prediction:->casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,first:internal_prediction_apply_001/internal_prediction_source_gate_not_ready"
strict_blind_first_slot_closure_kit,First strict-blind slot closure kit,blocked_on_internal_prediction_source_gate,0,7,7,casp17/casp17_strict_blind_first_slot_closure_kit_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","source/apply/dropzone/operator/intake:awaiting_internal_prediction_source_gate_fields/blocked_until_internal_prediction_source_gate_passes/awaiting_strict_blind_evidence_files/awaiting_operator_values/awaiting_operator_input,fills:11/17/12/20/60,first:internal_prediction_source_gate/internal_source_id_missing_or_external"
strict_blind_batch_closure_runway,Strict-blind 40-slot batch closure runway,blocked_on_first_slot_internal_prediction_source,0,40,40,casp17/casp17_strict_blind_batch_closure_runway_current.json,"set source_id to an internal pre-native prediction source, not an official archive or MassiveFold pool","source/evidence/operator/intake:1/39/0/0,files:0/240,operators:0/400,first:1/hist_REQUIRED_MONOMER_001/internal_prediction_source_gate/internal_source_id_missing_or_external"
historical_seed_ablation_candidate_manifests,Fail-closed ablation candidate manifests for historical seed rows,operator_ablation_review_required,0,15,15,casp17/casp17_historical_seed_ablation_candidate_manifests_current.json,attach real ablation layer evidence before setting ablation_manifest_ref,"selected:15,native:15,manifests:15,baseline_candidates:1,layer_gaps:14"
historical_seed_ablation_gap_repair_plan,Ablation gap repair plan separating real layer candidates from top-5 review decoys,ablation_gap_repair_required,1,14,15,casp17/casp17_historical_seed_ablation_gap_repair_plan_current.json,generate or attach true same-run/pre-minimization ablation layers; keep top5 decoys as review-only context,"real:1,missing_real:19,top5_decoys:60,top5_copy:15"
historical_seed_top5_candidate_pools,Local top-5 candidate pools for historical seed model-selection calibration,top5_candidate_pool_ready_for_review,15,0,15,casp17/casp17_historical_seed_top5_candidate_pools_current.json,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores","models:75,complete_top5:15,gaps:0,generated:60,source_blocked:0"
historical_seed_internal_score_candidates,Internal score candidates for historical seed top-5 model-selection calibration,internal_score_candidates_ready_for_review,15,0,15,casp17/casp17_historical_seed_internal_score_candidates_current.json,"feed internal scores into calibration ledger, then attach native oracle metrics","models:76,scored:76,top5_scored:15,selected_scores:15"
historical_seed_native_oracle_metric_candidates,Native metric candidates for historical seed top-5 model-selection calibration,native_oracle_metric_candidates_ready_for_review,15,0,15,casp17/casp17_historical_seed_native_oracle_metric_candidates_current.json,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate","models:76,metric_ready:76,top5_native:15,selected_native:15,best_native:15"
historical_seed_calibration_candidate_ledgers,Fail-closed model-selection calibration candidate ledgers for historical seed rows,operator_calibration_review_required,0,15,15,casp17/casp17_historical_seed_calibration_candidate_ledgers_current.json,operator-fill calibration fields after no-leak provenance clearance,"models:76,top5_ready:15,selected_rank:15,native_metrics:76,internal_scores:76,open_fields:90"
historical_seed_calibration_field_candidates,Operator-review calibration field candidates from historical seed ledgers,calibration_field_candidates_ready_for_operator_apply,15,0,15,casp17/casp17_historical_seed_calibration_field_candidates_current.json,operator may apply calibration field candidates after no-leak provenance clearance,"fields:90,proposed:90,matching:0,conflicts:0,blocked_fields:0"
historical_seed_clearance_fill_candidate_packet,Consolidated operator-review fill candidates for historical seed clearance fields,operator_provenance_required_with_field_candidates,15,15,15,casp17/casp17_historical_seed_clearance_fill_candidate_packet_current.json,complete no-leak provenance and repair blocked ablation fields before any cleared manifest promotion,"fields:255,proposed:91,operator_required:150,blocked_fields:14,calibration:90,ablation:1"
historical_seed_clearance_execution_board,Shortest-path execution board for the first cleared historical seed row,first_row_operator_no_leak_only,1,14,15,casp17/casp17_historical_seed_clearance_execution_board_current.json,"fill operator no-leak evidence fields, then apply prepared calibration and ablation candidates","first:HIST_CHIGNOLIN,status:operator_no_leak_only,no_leak_fields:150,blocked_ablation:14"
historical_seed_first_clearance_operator_kit,Operator no-leak intake and promotion preview for the first historical seed row,operator_no_leak_intake_ready,7,10,17,casp17/casp17_historical_seed_first_clearance_operator_kit_current.json,"fill no_leak_operator_intake.csv with independent evidence, then review promotion_preview.csv","target:HIST_CHIGNOLIN,preview:waiting_on_operator_no_leak_fields,weak:2,kit:casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN"
